Nome,Continuidade,Tipo,Espécie,Planeta Natal,Altura,Massa,Nascimento,Morte,Famílias,Pais,Parceiros,Irmãos,Filhos,Mestres,Aprendizes,Afiliação
Evif Sulp,Legends,N/A,Devaronian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Wallugget,Legends,N/A,Walluga,Kashyyyk,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Rotclaw,Legends,N/A,Mouf,Kashyyyk,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Goretongue,Legends,N/A,Minstyngar thrasher,Kashyyyk,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Twi'lek (Upper City),Legends,N/A,Twi'lek,Taris,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fellan,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Kendamari Casinos
Crazy Van Kyle,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Hurt Vectors
Maris Brood's Master,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,Maris Brood,Jedi Order; Galactic Republic
Unidentified Ithorian (South Apartments),Legends,N/A,Ithorian,Taris,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manchucho,Legends,Galactic Republic,Aleena,Aleen,0.78 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic
Oecax,Legends,N/A,Ithorian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Cjaalysce,Legends,N/A,Human,Socorro,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Harvey (Mon Calamari),Legends,N/A,Mon Calamari,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Robeir XXIII,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,House of Cron; Galactic Empire
Benoni Ulte,Legends,N/A,Human,Socorro,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Ibhaan'I
Barden Golah,Legends,Sith Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sith Empire; Imperial Reclamation Service
Orphne,Legends,N/A,Orphne's species,N/A,1.75 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unidentified Felucian chief,Legends,N/A,Jungle Felucian,Felucia,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Felucian Sanctuary; Alderaanian Resistance
Unidentified Felucian guide,Legends,N/A,Jungle Felucian,Felucia,N/A,N/A,N/A,"Early Galactic Civil War, Felucia",new,new,new,new,new,N/A,N/A,Felucian Sanctuary; Alderaanian Resistance
Cyrus,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal Naboo Security Forces
Unidentified Dulok (arrows),Legends,N/A,Dulok,Endor,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Duloks
Wevat Midian,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,The Wheel
Lira Rimrunner,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Dalos IV government
M'Kyas Love,Canon,New Republic,Latarzian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; New Republic
HJ-377,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire
Unidentified Kindalo,Legends,N/A,Kindalo,Aleen,3.1 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified stormtrooper (hill),Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire; Stormtrooper Corps
Unidentified Dulok cub 1,Legends,N/A,Dulok,Forest Moon of Endor,Well under 1.35 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Dulok cub 2,Legends,N/A,Dulok,Forest Moon of Endor,Well under 1.35 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Dulok cub 3,Legends,N/A,Dulok,Forest Moon of Endor,Well under 1.35 meters,N/A,N/A,N/A,N/A,Gorneesh; Urgah,N/A,A brother; A sister,N/A,N/A,N/A,Gorneesh's tribe
Bristow,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Imperial Remnant
Dogma,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Grand Army of the Republic; 501st Legion
Tup,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,"20 BBY, Kamino",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; 501st Legion
Sek'nos Rath,Legends,Je'daii,Sith,Tython,N/A,N/A,N/A,N/A,new,new,Trill,new,new,N/A,N/A,Je'daii Order
Tasha Ryo,Legends,Je'daii,Twi'lek,Shikaakwa,N/A,N/A,"Before 25,805 BBY, Shikaakwa","25,792 BBY, Tython",Clan Ryo,Volnos Ryo; Kora Ryo,N/A,N/A,N/A,N/A,N/A,Je'daii Order
Shae Koda,Legends,Je'daii,Human,Tython,N/A,N/A,"Before 25,805 BBY",N/A,new,new,new,new,new,Quan-Jang,N/A,Je'daii Order
Hawk Ryo,Legends,Je'daii,Twi'lek,Shikaakwa,N/A,N/A,N/A,N/A,Clan Ryo,N/A,N/A,Volnos Ryo,N/A,N/A,N/A,Je'daii Order
Kora Ryo,Legends,Je'daii,Twi'lek,Shikaakwa,N/A,N/A,N/A,N/A,N/A,N/A,Volnos Ryo,N/A,Tasha Ryo,N/A,N/A,Je'daii Order; Je'daii Council
Ketu,Legends,Je'daii,Human,Tython,N/A,N/A,N/A,N/A,new,new,new,new,new,Rajivari,N/A,Je'daii Order
Hay-Zu,Legends,Bureaucrat,Patitite,Patitite Pattuna,0.43 meters,N/A,N/A,"20 BBY, Patitite Pattuna",new,new,new,new,new,N/A,N/A,N/A
Unidentified wounded Naboo guard 2,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Royal Naboo Security Forces
Unidentified wounded Naboo guard 1,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal Naboo Security Forces
Unidentified wounded Naboo guard 3,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal Naboo Security Forces
Unidentified grenadier,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal Naboo Security Forces; Grenadiers
Jane,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Naboo-1,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Naboo Royal Space Fighter Corps
Jawiin Danod,Legends,N/A,Ithorian,N/A,N/A,N/A,N/A,"1 ABY, Dathomir",new,new,new,new,new,N/A,N/A,N/A
Orn,Legends,N/A,N/A,N/A,N/A,N/A,N/A,"27 ABY, Coruscant",N/A,N/A,N/A,N/A,Jaden Korr,N/A,N/A,N/A
Seer (clone),Legends,Dark Jedi,Human,Frozen moon,1.6 meters,N/A,N/A,41 ABY,new,new,new,new,new,N/A,N/A,Community
Albee Dewaw,Legends,N/A,Unidentified tentacle-faced species,Balnab,N/A,N/A,N/A,"c. 21 BBY, Balnab",new,new,new,new,new,N/A,N/A,Pit droids
Salva,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Joseph (major),Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Anbow,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
TX-840,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Jimba,Legends,N/A,Patitite,Patitite Pattuna,0.4 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Soldier (clone),Legends,Dark Jedi,Human (clone),A frozen moon,N/A,N/A,"c. 9 ABY, Imperial research facility on the frozen moon",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Community
The Iteration,Legends,Sith,Human (clone),N/A,N/A,N/A,N/A,"41 ABY, Mother",N/A,N/A,N/A,N/A,N/A,N/A,N/A,One Sith
Tremel,Legends,Sith,Human,N/A,N/A,N/A,N/A,"3643 BBY, Korriban",N/A,N/A,N/A,N/A,Eskella Gryton,N/A,Empire's Wrath ; Vemrin ; Eskella Gryton,Sith Empire; Korriban Sith Academy
Jendan Blyes,Legends,Galactic Republic,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Mantellian Army; Thirty-first Recon
Krizta,Legends,N/A,Tarasin,Cularin,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Trik,Legends,N/A,Tarasin,Cularin,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Nadon's grove,Legends,Rebel,Bafforr tree,Tatooine,N/A,N/A,N/A,N/A,new,new,new,new,new,Momaw Nadon,N/A,N/A
Krael,Legends,Criminal,Human,N/A,N/A,N/A,N/A,"Circa 21 BBY, Cularin",new,new,new,new,new,N/A,N/A,N/A
Marden,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Reegas Vance
Verra,Legends,Criminal,Human,N/A,N/A,N/A,N/A,c. 41 ABY,new,new,new,new,new,N/A,N/A,N/A
Unidentified cloning technician,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Unidentified Imperial commander (Brema sector),Legends,Sith,Human or Sith,N/A,N/A,N/A,N/A,"Sometime between 3681 and 3653 BBY, over Ord Ibanna",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sith Empire
Nyss Nenn,Legends,Sith Empire,Umbaran,N/A,N/A,N/A,N/A,"41 ABY, Mother",N/A,N/A,N/A,Syll Nenn,N/A,N/A,N/A,One Sith
Moren Chonk,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,Between 0 ABY and 3 ABY,new,new,new,new,new,N/A,N/A,Morjanssik Sanitation Bureau; Morjanssik Management
Kelmut Wolg,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Kruluk,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Long Drink
Vuhlg Worrik,Legends,N/A,N/A,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Thulwuk Thur,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Drusan,Canon,N/A,N/A,Rodia,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Ferrouz's wife,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Ferrouz's daughter,Legends,Galactic Empire,Human,N/A,N/A,N/A,c. 6 BBY,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Darth Nyriss,Legends,Sith,Sith,N/A,N/A,N/A,N/A,"3950 BBY, Dromund Kaas",new,new,new,new,new,N/A,N/A,Sith Empire; Dark Council
Scourge (Sith),Legends,Sith,Sith,N/A,N/A,N/A,Before 3950 BBY,N/A,N/A,N/A,N/A,N/A,N/A,Revan,N/A,Sith Empire; Galactic Republic; Task Force Nova
Walif Merv,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Limeren,Legends,Galactic Empire,"Human, surgically altered to resemble a Mon Calamari",N/A,N/A,N/A,N/A,"Between 0 ABY and 3 ABY, Dac",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Intelligence; Destabilization
Huv,Legends,Galactic Empire,"Human, surgically altered to resemble a Mon Calamari",N/A,N/A,N/A,N/A,"Between 0 ABY and 3 ABY, Dac",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Intelligence; Destabilization
Flodon,Legends,Galactic Empire,"Human, surgically altered to resemble a Mon Calamari",N/A,N/A,N/A,N/A,"Between 0 ABY and 3 ABY, Dac",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Intelligence; Destabilization
Logor,Legends,N/A,Quarren,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified boy,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Theed woman 1,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified fisherman,Legends,N/A,Human,N/A,N/A,N/A,N/A,"32 BBY, Theed, Naboo",new,new,new,new,new,N/A,N/A,N/A
Unidentified clone navigation officer (Citadel),Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,"21 BBY, Lola Sayu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Republic Navy
Vahss,Legends,Galactic Republic,Human,N/A,N/A,N/A,N/A,1032 BBY,new,new,new,new,new,N/A,N/A,Galactic Republic; Republic Starfighter Corps; Grace Command; Devil Squadron
Padgett,Legends,N/A,Human,Aquilaris,N/A,N/A,c. 1072 BBY,N/A,new,new,new,new,new,N/A,N/A,Seacroppers' Guild
Joad Kreel,Legends,N/A,Human,Aquilaris Minor,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Theed woman 2,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Marko (Human),Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thaereian military
Sechel,Legends,Sith Empire,Sith,N/A,N/A,N/A,N/A,3950 BBY,new,new,new,new,new,N/A,N/A,Sith Empire; Imperial Intelligence; Darth Nyriss
Hunter (clone),Legends,Dark Jedi,Human (clone),Frozen moon,N/A,N/A,N/A,41.5 ABY,new,new,new,new,new,N/A,N/A,Community
Unidentified vendor,Legends,N/A,N/A,Vulta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emo Aucellis,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Evin Telbre,Legends,Corporate,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Balthazar Sim,Legends,Criminal,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Hoogi Grym,Legends,Galactic Empire,Bothan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Puriv,Legends,Galactic Empire,Stromma,N/A,N/A,N/A,N/A,N/A,Puriv's family,N/A,N/A,N/A,N/A,N/A,N/A,Empire of the Hand; Stromma contingent
Kicker (stormtrooper),Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Unidentified base staffmember,Legends,New Republic,Human,N/A,N/A,N/A,N/A,"4 ABY, Epsilon Nine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire ; New Republic
Oz,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,"c. 21 BBY, Umbara",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Torrent Company
Ringo,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,"c. 21 BBY, Umbara",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Vardovin IV,Canon,N/A,Duros,Duro,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Philo (Taal),Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Luralon Odaay's wife,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Cabe Maquez,Canon,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Luralon Odaay's child,Canon,N/A,At least half Turian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Cyreltov,Legends,Bounty hunter,Chiss,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Confederacy of Independent Systems
Jydu,Legends,New Republic,Adarian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,New Republic
Caled Galfridian's first wife,Legends,N/A,N/A,N/A,N/A,N/A,N/A,By 8 ABY,new,new,new,new,new,N/A,N/A,Galfridian family
Andro Hoverdale,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,"1 ABY, Tatooine",new,new,new,new,new,N/A,N/A,Hoverdale bandits
Hoolar Freeb,Legends,N/A,Ithorian,Ithor,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Azure Cabal
Foehorn,Legends,N/A,Tulrus,Mustafar,N/A,N/A,N/A,Mustafar,new,new,new,new,new,N/A,N/A,N/A
Unidentified Corellia University teaching assistant,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Corellia University
Stoneleg,Legends,N/A,Walluga,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Balkin,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Simo Oron,Legends,Rebel,Bothan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic; Alliance Intelligence
Amminius Goodner,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,"1 ABY, Dantooine",new,new,new,new,new,N/A,N/A,Galactic Empire
T'licl Zanedi,Legends,Rebel,Ithorian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Erisi Plmary,Legends,Rebel,Bothan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Bothan Spynet; Alliance to Restore the Republic
Jotil Denive,Legends,Rebel,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Security Bureau; Alliance to Restore the Republic
Jorund Saleem,Legends,Criminal,Human,N/A,N/A,N/A,N/A,"1 ABY, Lok",new,new,new,new,new,N/A,N/A,Blood Razors
Mahar Spince,Legends,Criminal,Devaronian,N/A,N/A,N/A,N/A,"1 ABY, Lok",new,new,new,new,new,N/A,N/A,Lok Revenants
Kehel Sinan,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,"1 ABY, Dantooine",new,new,new,new,new,N/A,N/A,Galactic Empire
Barthis Belangus,Legends,Galactic Empire,Trandoshan,N/A,N/A,N/A,N/A,"1 ABY, Dantooine",new,new,new,new,new,N/A,N/A,Galactic Empire
Stromgald Rholar,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,"1 ABY, Dantooine",new,new,new,new,new,N/A,N/A,Galactic Empire
Unidentified hyperspace scout 1,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unidentified hyperspace scout 2,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unidentified Givin Sith,Legends,Sith,Givin,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,One Sith; Darth Krayt's Galactic Empire
Mother (Rakatan entity),Legends,N/A,Conscious Rakatan entity; Human,N/A,N/A,N/A,N/A,41 ABY,new,new,new,new,new,N/A,N/A,Infinite Empire
Nyama,Legends,Bureaucrat,Stromma,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Stromma council; Nuso Esva's realm; Quesoth; Queen of the Red
Syll Nenn,Legends,Sith Empire,Umbaran,N/A,N/A,N/A,N/A,41 ABY,N/A,N/A,N/A,Nyss Nenn,N/A,N/A,N/A,One Sith
Runner (clone),Legends,Dark Jedi,Human,Frozen moon,1.8 meters,N/A,N/A,41.5 ABY,new,new,new,new,new,N/A,N/A,Community
Grace (Human),Legends,N/A,Human,Frozen moon,N/A,N/A,c. 32 ABY,N/A,new,new,new,new,new,N/A,N/A,Community
Unidentified attendant,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Outbound Flight Colony
Scar (clone),Legends,Dark Jedi,Human (clone),Frozen moon,N/A,N/A,N/A,41.5 ABY,new,new,new,new,new,N/A,N/A,Community
Wry,Legends,Dark Jedi,Clone,A frozen moon,N/A,N/A,"c. 9 ABY, Imperial research facility on the frozen moon","Years before 41 ABY, Imperial research facility",new,new,new,new,new,N/A,N/A,Community
Maker (clone),Legends,Dark Jedi,Human (clone),Frozen moon,N/A,N/A,N/A,41.5 ABY,new,new,new,new,new,N/A,N/A,Community; Dark Jedi
Rodian Base Security Chief,Legends,N/A,Rodian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sordaan Xris
Tremorfoot,Legends,N/A,Tulrus,Mustafar,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Jirvin,Legends,N/A,Quesoth,Quethold,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Barcelle,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Unidentified Imperial controller (Zuckuss),Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire
Blessing,Legends,N/A,Human,Frozen moon,N/A,N/A,N/A,41 ABY,new,new,new,new,new,N/A,N/A,Community
Gift,Legends,N/A,Human,Frozen moon,N/A,N/A,N/A,41 ABY,new,new,new,new,new,N/A,N/A,Community
Two-Blade,Legends,Dark Jedi,Human (clone),Frozen moon,Over 2 meters tall,N/A,N/A,41.5 ABY,new,new,new,new,new,N/A,N/A,Community
Lhagva,Legends,Galactic Empire,Stromma,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Tasse,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Borosiv,Legends,Bureaucrat,Quesoth,Quethold,N/A,N/A,N/A,"8 ABY, Quethold",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Circling of the First of the Red
Dramos Sanjin,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Shrinks,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Trevik,Legends,N/A,Quesoth,Quethold,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Midli; Trevik's family
Bragger,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Empire of the Hand
Unidentified mimph infant,Legends,N/A,Mimph,Forest Moon of Endor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unidentified mimph (hat),Legends,N/A,Mimph,Forest Moon of Endor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mimph village
Xzuhal,Legends,N/A,Falleen,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Goontirk,Legends,N/A,Snivvian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Lurbi,Legends,N/A,Gotal,Antar 4,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Mandalore the Conqueror,Legends,Mandalorian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mandalorian Crusaders
Wylla,Legends,N/A,N/A,Alderaan,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Jaffro Davengatt,Legends,Corporate,Human,Engebo V,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Davengatt's Double-Zed Nerf Ranch
Nell Davengatt,Legends,N/A,Human,Engebo V,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Davengatt's Double-Zed Nerf Ranch
Jagged Fang,Legends,N/A,Varactyl,Kashyyyk,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Xornu Plox,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,The Sozzenels
Greyclimber,Legends,N/A,Kashyyyk bantha,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Spiketop,Legends,N/A,Uller,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Silkthrower,Legends,N/A,Webweaver,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Sheffel Nan,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Trivyakna Korl,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Roald Lasdal,Legends,Rebel,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Tem Riffle,Canon,Corporate,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Corellian Engineering Corporation
Brightclaw,Legends,N/A,Mouf,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Paleclaw,Legends,N/A,Mouf,Kashyyyk,N/A,N/A,N/A,"1 ABY, Kashyyyk",new,new,new,new,new,N/A,N/A,N/A
Kurakk,Legends,N/A,Trandoshan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jon-Tow Economic Development Group
Hella Cordoni,Legends,Bureaucrat,Human,Chandrila,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Van Kellen,Legends,N/A,Human,Corellia,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Oodora,Legends,Galactic Republic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Galactic Senate; Manaan
Deniv Corsignis,Legends,Corporate,Chagrian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Corsignis Property Alliance
Nari Beksen,Legends,Corporate,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Corsignis Property Alliance
